Ticker,Cambio(%) 1_dia,Fecha
MET,1,23-dic-20
MGM,1,23-dic-20
MHK,1,23-dic-20
MKC,1,23-dic-20
MKTX,-1,23-dic-20
MLM,1,23-dic-20
MMC,-1,23-dic-20
MMM,-1,23-dic-20
MNST,1,23-dic-20
MO,1,23-dic-20
MOS,1,23-dic-20
MPC,1,23-dic-20
MRK,1,23-dic-20
MRO,1,23-dic-20
MS,1,23-dic-20
MSCI,-1,23-dic-20
MSFT,-1,23-dic-20
MSI,1,23-dic-20
MTB,1,23-dic-20
MTD,1,23-dic-20
MU,-1,23-dic-20
MXIM,-1,23-dic-20
NCLH,1,23-dic-20
NDAQ,-1,23-dic-20
NEE,-1,23-dic-20
NEM,1,23-dic-20
NFLX,-1,23-dic-20
NI,1,23-dic-20
NKE,-1,23-dic-20
NLOK,-1,23-dic-20
NLSN,1,23-dic-20
NOC,1,23-dic-20
NOV,1,23-dic-20
NOW,-1,23-dic-20
NRG,1,23-dic-20
NSC,1,23-dic-20
NTAP,-1,23-dic-20
NTRS,1,23-dic-20
NUE,-1,23-dic-20
NVDA,-1,23-dic-20
NVR,-1,23-dic-20
NWL,1,23-dic-20
NWS,-1,23-dic-20
NWSA,1,23-dic-20
O,-1,23-dic-20
ODFL,-1,23-dic-20
OKE,1,23-dic-20
OMC,1,23-dic-20
ORCL,1,23-dic-20
ORLY,1,23-dic-20
OTIS,1,23-dic-20
OXY,1,23-dic-20
PAYC,-1,23-dic-20
PAYX,-1,23-dic-20
PBCT,1,23-dic-20
PCAR,1,23-dic-20
PEAK,-1,23-dic-20
PEG,1,23-dic-20
PEP,1,23-dic-20
PFE,1,23-dic-20
PFG,1,23-dic-20
PG,-1,23-dic-20
PGR,-1,23-dic-20
PH,1,23-dic-20
PHM,-1,23-dic-20
PKG,1,23-dic-20
PKI,-1,23-dic-20
PLD,-1,23-dic-20
PM,1,23-dic-20
PNC,1,23-dic-20
PNR,-1,23-dic-20
PNW,-1,23-dic-20
